HourDK,Temperature
2023-05-02T00:00,5.7
2023-05-02T01:00,4.9
2023-05-02T02:00,4.2
2023-05-02T03:00,4.5
2023-05-02T04:00,5.2
2023-05-02T05:00,6.5
2023-05-02T06:00,6.0
2023-05-02T07:00,6.0
2023-05-02T08:00,6.4
2023-05-02T09:00,6.9
2023-05-02T10:00,7.8
2023-05-02T11:00,8.5
2023-05-02T12:00,9.1
2023-05-02T13:00,10.3
2023-05-02T14:00,11.0
2023-05-02T15:00,11.3
2023-05-02T16:00,11.1
2023-05-02T17:00,10.8
2023-05-02T18:00,10.1
2023-05-02T19:00,9.7
2023-05-02T20:00,8.8
2023-05-02T21:00,7.4
2023-05-02T22:00,5.8
2023-05-02T23:00,4.8
